Best-selling Cars in the United Kingdom (1998),,,,
Ranking,Manufacturer,Model,Country,Sales total
1,Ford,Fiesta,United Kingdom,"116,110"
2,Ford,Escort,United Kingdom,"113,560"
3,Ford,Mondeo,United Kingdom,"99,729"
4,Vauxhall,Vectra,United Kingdom,"92,719"
5,Renault,Megane,France,"82,998"
6,Vauxhall,Astra,United Kingdom,"81,494"
7,Vauxhall,Corsa,United Kingdom,"75,673"
8,Peugeot,306,France,"70,169"
9,Rover,200 Series,United Kingdom,"64,928"
10,Rover,400 Series,United Kingdom,"57,318"
