"Global Currency Rates (as of January 17, 2024)",,,,,,,
Currency,Code,Region,Exchange rate,Currency,Code,Region,Exchange rate
Emirati Dirham,AED,Asia,4.8873,South Korean Won,KRW,Asia,1768.61
Argentine Peso,AEP,Americas,889.4908,Kuwaiti Dinar,KWD,Asia,0.409283
Afghan Afghani,AFN,Asia,94.016198,Kazakhstani Tenge,KZT,Europe,491.14
Albanian Lek,ALL,Europe,119.40555,Lao Kip,LAK,Asia,22552.5
Armenian Dram,AMD,Europe,514.71525,Lebanese Pound,LBP,Asia,118953.63
Netherlands Antillean Guilder,ANG,Americas,2.3821845,Sri Lankan Rupee,LKR,Asia,320.99
Angolan Kwanza,AOA,Africa,1223.7802,Liberian Dollar,LRD,Africa,259.9256
Austrian Schiling,ATS,Europe,16.787566,Lithuanian Litas,LTL,Europe,4.212416
Australian Dollar,AUD,Oceania,2.02524,Luxembourgish Franc,LUF,Europe,49.214678
Aruban Florin,AWG,Americas,2.3807,Latvian Lats,LVL,Europe,0.857416
Azerbaijani Manat,AZM,Europe,1.8482,Libyan Dinar,LYD,Africa,6.3700721
Bosnian Convertible Mark,BAM,Europe,2.3389037,Moroccan Dirham,MAD,Africa,10.8556
Bangladeshi Taka,BDT,Asia,159.04724,Moldovan Leu,MDL,Europe,19.1798
Belgian Franc,BEF,Europe,49.214678,Burmese Kyat,MMK,Asia,2791.2916
Bulgarian Lev,BGN,Europe,1.9578,Mongolian Togrog,MNT,Asia,4521.756
Bahraini Dinar,BHD,Asia,0.4285,Macanese Pataca,MOP,Asia,10.677219
Burundian Franc,BIF,Africa,3842.2568,Maltese Lira,MTL,Europe,0.523746
Bruneian Dollar,BND,Asia,1.78871,Mauritian Rupee,MUR,Africa,61.362209
Bolivian Boliviano,BOB,Americas,7.4575,Maldivian Rufiyaa,MVR,Asia,20.509515
Brazilian Real,BRL,Americas,6.56607,Mexican Peso,MXN,Americas,23.0169
Bahamian Dollar,BSD,Americas,1.33079,Malaysian Ringgit,MYR,Asia,6.27534
Bhutanese Ngultrum,BTN,Asia,111.59916,Namibian Dollar,NAD,Africa,23.569305
Botswana Pula,BWP,Africa,17.779132,Nigerian Naira,NGN,Africa,2116.3179
Belarusian Ruble,BYN,Europe,4.349121,Nicaraguan Cordoba-Oro,NIO,Americas,36.6243
Belizean Dollar,BZD,Americas,2.6924248,Dutch Guilder,NLG,Europe,2.6885262
Canadian Dollar,CAD,Americas,1.79949,Norwegian Krone,NOK,Scandinavia,11.4405
Congolese Franc,CDF,Africa,3762.8746,Nepalese Rupee,NPR,Asia,178.75469
Swiss Franc,CHF,Europe,1.14967,New Taiwan Dollar,NTD,Asia,42.940943
Chilean Peso,CLP,Americas,1227.06,New Zealand Dollar,NZD,Oceania,2.16811
Chinese Yuan,CNY,Asia,9.57735,Omani Rial,OMR,Asia,0.511687
Colombian Peso,COP,Americas,5337.8828,Panamanian Balboa,PAB,Americas,1.33079
Costa Rican Colon,CRC,Americas,517.46,Peruvian Nuevo-Sol,PEN,Americas,4.96783
Cuban Peso,CUP,Americas,31.940845,Papua New Guinean Kina,PGK,Oceania,3.7393
Cape Verdean Escudo,CVE,Africa,131.87361,Philippine Peso,PHP,Asia,74.371
Cypriot Pound,CYP,Europe,0.71403428,Pakistani Rupee,PKR,Asia,304.2219
Czech Koruna,CZK,Europe,30.2887,Polish Zloty,PLN,Europe,5.38089
German Mark,DEM,Europe,2.3861126,Portuguese Escudo,PTE,Europe,244.58804
Danish Krone,DKK,Scandinavia,9.12542,Paraguayan Guarani,PYG,Americas,7918.95
Dominican Peso,DOP,Americas,79.764213,Qatari Riyal,QAR,Asia,4.84407
Algerian Dinar,DZD,Africa,179.141,Romanian Leu,RON,Europe,4.9765
Ecuadorian Sucre,ECS,Americas,34503.95,Serbian Dinar,RSD,Europe,142.79168
Estonian Kroon,EEK,Europe,19.088901,Russian Ruble,RUB,Europe,117.58
Egyptian Pound,EGP,Africa,33.6053,Rwandan Franc,RWF,Africa,1775.8983
Spanish Peseta,ESP,Europe,202.99092,Saudi Riyal,SAR,Asia,4.99044
Ethiopian Birr,ETB,Africa,145.57602,Solomon Islands Dollar,SBD,Oceania,11.069712
Euro,EUR,-,1.22349,Swedish Krona,SEK,Scandinavia,13.9385
Finnish Marka,FIM,Scandinavia,7.2537906,Singapore Dollar,SGD,Asia,1.78871
Fijian Dollar,FJD,Oceania,2.9475735,Slovenian Tolar,SIT,Europe,292.3608
Faroese Krona,FOK,Scandinavia,8.88,Slovak Koruna,SKK,Europe,36.75372
French Franc,FRF,Europe,8.0026754,Surinamese Dollar,SRD,Americas,38.460611
Pound Sterling,GBP,Europe,1.04869,Salvadoran Colon,SVC,Americas,8.7495
Georgian Lari,GEL,Europe,3.5868946,Thai Baht,THB,Asia,47.3082
Ghanaian Cedi,GHC,Africa,20.771361,Tajikistani Somoni,TJS,Asia,14.181632
Guinean Franc,GNF,Africa,11467.114,Turkmenistani Manat,TMN,Asia,4.6478572
Greek Drachma,GRD,Europe,415.715,Tunisian Dinar,TND,Africa,4.0537306
Guatemalan Quetzal,GTQ,Americas,7.8165,Tongan Pa'anga,TOP,Oceania,3.1361194
Hong Kong Dollar,HKD,Asia,8.511,Turkish Lira,TRY,Europe,32.7803
Honduran Lempira,HNL,Americas,24.6997,Trinidadian Dollar,TTD,Americas,9.0315986
Croatian Kuna,HRK,Europe,9.19209,Tuvaluan Dollar,TVD,Oceania,1.949263
Haitian Gourde,HTG,Americas,174.69287,Tanzanian Shilling,TZS,Africa,3610.8577
Hungarian Forint,HUF,Europe,482.45566,Ukrainian Hryvnia,UAH,Europe,41.2848
Indonesian Rupiah,IDR,Asia,17001.24,Ugandan Shilling,UGX,Africa,4942.5544
Irish Pound,IEP,Europe,0.96082808,United States Dollar,USD,Americas,1.33079
Israeli New Shekel,ILS,Asia,5.0357,Uruguayan Peso,UYU,Americas,52.2772
