2025 Global Air Pollution Rankings,,,,
City / State,Country,Region,AQI Score,Condition
Riyadh,Saudi Arabia,Asia,356,Severe
Kuwait City,Kuwait,Asia,255,Critical
Beijing,People's Republic of China,Asia,170,Dangerous
Hanoi,Vietnam,Asia,154,Dangerous
Jakarta,Indonesia,Asia,143,Unhealthy
New Delhi,India,Asia,142,Unhealthy
Manila,Philippines,Asia,134,Unhealthy
Wuhan,People's Republic of China,Asia,127,Unhealthy
Manama,Bahrain,Asia,119,Unhealthy
Dhaka,Bangladesh,Asia,115,Unhealthy
Milan,Italy,Europe,115,Unhealthy
Shanghai,People's Republic of China,Asia,115,Unhealthy
Kinshasa,Dem. Republic of the Congo,Africa,110,Unhealthy
Seoul,South Korea,Asia,105,Unhealthy
Chiang Mai,Thailand,Asia,104,Unhealthy
Karachi,Pakistan,Asia,97,Moderate
Chengdu,People's Republic of China,Asia,96,Moderate
Baghdad,Iraq,Asia,94,Moderate
Lahore,Pakistan,Asia,94,Moderate
Bangkok,Thailand,Asia,93,Moderate
Cairo,Egypt,Africa,91,Moderate
Tel Aviv,Israel,Asia,91,Moderate
Incheon,South Korea,Asia,90,Moderate
Dubai,United Arab Emirates,Asia,90,Moderate
"Medan, North Sumatra",Indonesia,Asia,89,Moderate
"London, England",United Kingdom,Europe,88,Moderate
Kathmandu,Nepal,Asia,86,Moderate
Paris,France,Europe,86,Moderate
Chongqing,People's Republic of China,Asia,84,Moderate
Busan,South Korea,Asia,82,Moderate
Munich,Germany,Europe,81,Moderate
Jerusalem,Israel,Asia,79,Moderate
Kolkata,India,Asia,79,Moderate
Hangzhou,People's Republic of China,Asia,79,Moderate
Almaty,Kazakhstan,Europe,78,Moderate
Addis Adaba,Ethiopia,Africa,77,Moderate
Rotterdam,Netherlands,Europe,75,Moderate
Ulaanbaatar,Mongolia,Asia,75,Moderate
Taipei,Republic of China,Asia,73,Moderate
Belgrade,Serbia,Europe,73,Moderate
Wroclaw,Poland,Europe,72,Moderate
Mumbai,India,Asia,72,Moderate
"Batam, Riau Islands",Indonesia,Asia,71,Moderate
Guangzhou,People's Republic of China,Asia,71,Moderate
"Birmingham, England",United Kingdom,Europe,70,Moderate
Phnom Penh,Cambodia,Asia,70,Moderate
Algiers,Algeria,Africa,69,Moderate
Zagreb,Croatia,Europe,69,Moderate
Osaka,Japan,Asia,68,Moderate
Doha,Qatar,Asia,67,Moderate
Brussels,Belgium,Europe,66,Moderate
Johannesburg,South Africa,Africa,66,Moderate
Accra,Ghana,Africa,66,Moderate
Sarajevo,Bosnia and Herzegovina,Europe,66,Moderate
Tehran,Iran,Asia,64,Moderate
Ljubljana,Slovenia,Europe,64,Moderate
Kobe,Japan,Asia,64,Moderate
Hong Kong,Hong Kong SAR,Asia,63,Moderate
Shenzhen,People's Republic of China,Asia,62,Moderate
Dublin,Republic of Ireland,Europe,62,Moderate
Tokyo,Japan,Asia,62,Moderate
Amsterdam,Netherlands,Europe,60,Moderate
Warsaw,Poland,Europe,60,Moderate
Kyoto,Japan,Asia,60,Moderate
"Detroit, Michigan",United States,Americas,60,Moderate
"Minneapolis, Minnesota",United States,Americas,60,Moderate
Santiago,Chile,Americas,59,Moderate
Bratislava,Slovakia,Europe,58,Moderate
Krakow,Poland,Europe,58,Moderate
Istanbul,Turkey,Europe,58,Moderate
Barcelona,Spain,Europe,58,Moderate
Tashkent,Uzbekistan,Asia,58,Moderate
Kampala,Uganda,Africa,57,Moderate
Lima,Peru,Americas,57,Moderate
Yangon,Myanmar,Asia,56,Moderate
Lisboa,Portugal,Europe,56,Moderate
Rome,Italy,Europe,56,Moderate
Prague,Czech Republic,Europe,56,Moderate
Nairobi,Kenya,Africa,56,Moderate
Dakar,Senegal,Africa,55,Moderate
