Worldwide Electricity Bills Average (as of 2023),,,
Country,Region,Electricity per kWh (in US$),Percentage of wages spent
Mexico,Americas,$0.10,1.39
South Korea,Asia & Oceania,$0.11,2.45
Hungary,Europe,$0.11,1.76
Canada,Americas,$0.12,3.00
Iceland,Europe,$0.15,9.63
Israel,Asia & Oceania,$0.16,2.51
United States,Americas,$0.17,2.69
New Zealand,Asia & Oceania,$0.17,2.84
Norway,Europe,$0.19,8.27
Poland,Europe,$0.20,2.27
Estonia,Europe,$0.46,9.07
United Kingdom,Europe,$0.48,4.81
Netherlands,Europe,$0.51,5.28
Lithuania,Europe,$0.56,5.49
Republic of Ireland,Europe,$0.58,7.41
Germany,Europe,$0.60,6.40
Denmark,Europe,$0.61,6.35
Belgium,Europe,$0.63,7.18
Austria,Europe,$0.68,8.29
Italy,Europe,$0.77,8.86
