New South Wales Car Fuel Economy Statistics,,,,,,,,,,
Manufacturer,Model,Class,Production year,Price (AUD),Layout,Powertrain,Fuel type,Location,Efficiency (mpg-US),
Mazda,Mazda6 Classic,Sedan,2009,"$9,995",FF,2.5 L I4,Gasoline,Camden,27,
Toyota,Yaris Ascent,Hatchback,2018,"$12,990",FF,1.5 L I4,Gasoline,Liverpool,71,
Audi,A4 Avant 2.0 TFSI quattro,Wagon,2015,"$13,990",4WD,2.0 L I4 Turbocharged,Gasoline,South Nowra,33,
Holden,Astra R,Hatchback,2018,"$13,990",FF,1.4 L I4 Turbocharged,Gasoline,Tuggerah,41,
Ford,Falcon EcoLPi Super Cab,Chassis Cab,2012,"$15,950",FR,4.0 L I6,LPG,Auburn,19,
Hyundai,i30 Active,Hatchback,2018,"$17,990",FF,2.0 L I4,Gasoline,Warwick Farm,32,
LDV,G10 Executive,Minivan,2018,"$18,888",FR,2.0 L I4 Turbocharged,Gasoline,Smithfield,29,
Mitsubishi,ASX LS 4x2,SUV,2018,"$18,990",FF,2.0 L I4,Gasoline,Seven Hills,31,
Volkswagen,Golf VII 110 TSI Trendline,Hatchback,2018,"$19,888",FF,1.4 L I4 Turbocharged,Gasoline,Homebush,41,
Nissan,Qashqai ST 4x2,SUV,2018,"$20,090",FF,2.0 L I4,Gasoline,Granville,39,
Škoda,Karoq SE 1.5 TSI 4x2,SUV,2018,"$20,880",FF,1.5 L I4 Turbocharged,Gasoline,Blacktown,42,
Audi,A3 40 TFSI Sportback,Hatchback,2018,"$22,888",FF,2.0 L I4 Turbocharged,Gasoline,Castle Hill,40,
Land Rover,Discovery Sport TD4 SE 4x4,SUV,2018,"$22,888",4WD,2.0 L I4 Turbocharged,Diesel,Taren Point,44,
Mazda,Mazda3 Astina,Hatchback,2018,"$23,995",FF,2.5 L I4,Gasoline,Homebush,37,
Audi,A3 35 TFSI Sedan,Sedan,2018,"$24,888",FF,1.4 L I4 Turbocharged,Gasoline,Homebush,48,
Holden,Commodore SS,Sedan,2012,"$24,990",FR,6.0 L V8,Gasoline,Campbelltown,23,
Toyota,Corolla Ascent,Sedan,2018,"$24,990",FF,1.8 L I4,Gasoline,Windsor,36,
Kia Motors,Carnival S,Minivan,2018,"$24,995",FF,3.3 L V6,Gasoline,Minchinbury,20,
Suzuki,Vitara Turbo 4x2,SUV,2021,"$25,879",FF,1.4 L I4 Turbocharged,Gasoline,Rydalmere,40,
Mercedes-Benz,CLA250 4MATIC Sport,Sedan,2017,"$26,880",4WD,2.0 L I4 Turbocharged,Gasoline,Gladesville,34,
Jaguar,E-Pace P250 SE 4x4,SUV,2018,"$27,999",4WD,2.0 L I4 Turbocharged,Gasoline,Rouse Hill,27,
Mercedes-Benz,GLA180,SUV,2018,"$29,990",FF,1.6 L I4 Turbocharged,Gasoline,Warwick Farm,35,
Ford,Ranger Wildtrak 3.2 4x4,Utility Truck,2018,"$31,979",4WD,3.2 L I5 Turbocharged,Diesel,Cardiff,26,
Jeep,Grand Cherokee Blackhawk,SUV,2018,"$38,880",4WD,3.0 L V6 Turbocharged,Diesel,Blacktown,31,
BMW,X5 xDrive30d,SUV,2018,"$39,999",4WD,3.0 L I6 Turbocharged,Diesel,Rouse Hill,34,
Tesla,Model S 75D,Sedan,2018,"$44,888",4WD,Dual AC Motor,Electric,Carlton,102,
