Northern Territory Car Fuel Economy Statistics,,,,,,,,,,
Manufacturer,Model,Class,Production year,Price (AUD),Layout,Powertrain,Fuel type,Location,Efficiency (mpg-US),
Holden,Commodore Berlina International,Sedan,2011,"$10,990",FR,3.0 L V6,Gasoline,Pinelands,26,
Suzuki,Grand Vitara 4x4,SUV,2014,"$13,999",4WD,2.4 L I4,Gasoline,Pinelands,32,
MG,MG3 Core,Hatchback,2019,"$16,990",FF,1.5 L I4,Gasoline,Winnellie,35,
Suzuki,Baleno GL,Hatchback,2022,"$18,980",FF,1.4 L I4,Gasoline,Stuart Park,44,
Mazda,BT-50 XT 4x4,Chassis Cab,2011,"$19,990",4WD,3.2 L I5,Diesel,Pinelands,26,
MG,MG5 Vibe,Grand Tourer,2023,"$20,980",FF,1.5 L I4 Turbocharged,Gasoline,Stuart Park,41,
Hyundai,i30 Active,Hatchback,2021,"$22,990",FF,2.0 L I4,Gasoline,Pinelands,32,
Kia Motors,Rio GT-Line,Hatchback,2020,"$22,990",FF,1.0 L I3 Turbocharged,Gasoline,Winnellie,44,
Toyota,Camry SX V6,Sedan,2018,"$23,990",FF,3.5 L V6,Gasoline,Stuart Park,26,
Hyundai,Kona 4x2,SUV,2022,"$24,990",FF,2.0 L I4,Gasoline,Stuart Park,38,
Mazda,Mazda2 G15 Pure,Hatchback,2022,"$24,990",FF,1.5 L I4,Gasoline,Berrimah,45,
Subaru,XV 2.0 L,SUV,2020,"$24,990",4WD,2.0 L F4,Gasoline,Stuart Park,34,
Mitsubishi,Outlander Exceed Hybrid 4x4,SUV,2019,"$25,990",4WD,2.0 L I4 w/Single AC Motor,Hybrid,Winnellie,138,
Toyota,C-HR GXL 4x2,SUV,2018,"$28,888",FF,1.2 L I4 Turbocharged,Gasoline,Palmerston City,37,
Toyota,Corolla ZR,Hatchback,2020,"$28,888",FF,2.0 L I4,Gasoline,Palmerston City,39,
LDV,D90 Executive 4x4,SUV,2022,"$29,980",4WD,2.0 L I4 Turbocharged,Gasoline,Stuart Park,26,
Ford,Falcon Ute XR8,Coupe Utility,2012,"$29,990",FR,5.4 L V8,Gasoline,Pinelands,16,
Holden,Trailblazer LT 4x4,SUV,2017,"$29,990",4WD,2.8 L I4 Turbocharged,Diesel,Berrimah,25,
Audi,Q7 3.0 TDI quattro,SUV,2017,"$34,990",4WD,3.0 L V6 Turbocharged,Diesel,Berrimah,41,
Kia Motors,Cerato GT,Hatchback,2024,"$36,990",FF,1.6 L I4 Turbocharged,Gasoline,Winnellie,35,
BMW,X2 sDrive20i M Sport,SUV,2021,"$36,990",FF,2.0 L I4 Turbocharged,Gasoline,Berrimah,39,
Subaru,WRX Sportswagon,Wagon,2022,"$45,990",4WD,2.4 L F4 Turbocharged,Gasoline,Berrimah,28,
LDV,eDeliver 7,Panel Van,2023,"$49,990",FF,Single AC Motor,Electric,Winnellie,129,
Toyota,Fortuner GXL 4x4,SUV,2020,"$54,999",4WD,2.8 L I4 Turbocharged,Diesel,Winnellie,31,
Ford,Mustang GT,Muscle Car,2019,"$57,490",FR,5.0 L V8,Gasoline,Berrimah,19,
Toyota,Land Cruiser Workmate 4x4,Utility Truck,2017,"$75,990",4WD,4.5 L V8 Turbocharged,Diesel,Winnellie,22,
