Queensland Car Fuel Economy Statistics,,,,,,,,,,
Manufacturer,Model,Class,Production year,Price (AUD),Layout,Powertrain,Fuel type,Location,Efficiency (mpg-US),
Suzuki,APV,Minivan,2007,"$4,799",FR,1.5 L I4,Gasoline,Arundel,29,
Holden,Barina CD,Hatchback,2013,"$9,990",FF,1.6 L I4,Gasoline,Strathpine,36,
Hyundai,i30 Active 1.6 CRDi,Hatchback,2012,"$9,990",FF,1.6 L I4 Turbocharged,Diesel,Slacks Creek,42,
Toyota,Aurion AT-X,Sedan,2013,"$10,900",FF,2.5 L I4,Gasoline,Darra,24,
Holden,Astra LS Sedan,Sedan,2017,"$10,990",FF,1.4 L I4,Gasoline,Molendinar,39,
Mitsubishi,Lancer ES Sportback,Hatchback,2010,"$11,999",FF,2.0 L I4,Gasoline,Rocklea,32,
Peugeot,308 Active,Hatchback,2016,"$13,500",FF,1.2 L I3,Gasoline,Sumner,59,
Honda,Jazz VTi,Hatchback,2015,"$14,990",FF,1.5 L I4,Gasoline,Ashmore,38,
Nissan,Altima Ti,Sedan,2013,"$15,990",FF,2.5 L I4,Gasoline,Hervey Bay,31,
Honda,HRV VTi-L 4x2,SUV,2016,"$17,790",FF,1.5 L I4,Gasoline,Nundah,34,
Holden,Commodore SV6 Storm,Sedan,2014,"$17,990",FR,3.6 L V6,Gasoline,Strathpine,26,
MG,HS Vibe 4x2,SUV,2022,"$18,490",FF,1.5 L I4 Turbocharged,Gasoline,Nundah,32,
Volkswagen,Eos 155 TSI,Convertible,2012,"$19,880",FF,2.0 L I4 Turbocharged,Gasoline,Sumner,31,
Suzuki,Ignis GL 4x2,SUV,2021,"$19,990",FF,1.2 L I4,Gasoline,Pialba,48,
BMW,325i Convertible,Convertible,2012,"$19,999",FR,2.5 L I6,Gasoline,Burleigh Heads,25,
Mercedes-Benz,CLA200,Sedan,2014,"$22,888",FF,1.6 L I4 Turbocharged,Gasoline,Ashmore,41,
Isuzu,D-Max SX Hi-Ride Space Cab 4x2,Chassis Cab,2018,"$23,990",FR,3.0 L I4 Turbocharged,Diesel,Carbrook,31,
Volvo,XC60 D5 R-Design,SUV,2015,"$24,900",4WD,2.4 L I5 Turbocharged,Diesel,Ashmore,34,
Toyota,Kluger GX 4x2,SUV,2017,"$24,995",FF,3.5 L V6,Gasoline,Brendale,26,
Holden,Commodore Ute SV6 Black Edition,Coupe Utility,2016,"$28,790",FR,3.6 L V6,Gasoline,Moorooka,26,
Ford,Everest Titanium 4x4,SUV,2016,"$28,870",4WD,2.0 L I4 Turbocharged,Diesel,Underwood,28,
Škoda,Scala Ambition 85 TSI,Hatchback,2023,"$30,990",FF,1.0 L I3 Turbocharged,Gasoline,West End,44,
Mitsubishi,Triton GLS 4x4,Utility Truck,2021,"$39,990",4WD,2.4 L I4 Turbocharged,Diesel,Burleigh Heads,27,
Hyundai,Sonata N-Line,Sedan,2022,"$40,888",FF,2.5 L I4 Turbocharged,Gasoline,Capalaba,29,
Honda,CR-V VTi-L 4x4,SUV,2022,"$40,990",4WD,1.5 L I4 Turbocharged,Gasoline,Ashmore,32,
Mercedes-Benz,A250,Hatchback,2019,"$41,990",FF,2.0 L I4 Turbocharged,Gasoline,Hervey Bay,32,
