Top 50 U.S. Wildfire Incidents,,,,,
Incident,Year,State(s),Areas burned (in acres),Fatalities,Cause(s)
Peshtigo Fire,1871,Wisconsin,"1,200,000","1,200 to 2,500","Slash-and-burn debris, gale winds"
Great Michigan Fire,1871,Michigan,"2,500,000",Hundreds,"Dry weather, severe fires, extreme drought & wind"
Great Fire of 1910,1910,"Idaho, Montana, Washington","3,000,000",87,"Lightning fires, hurricane winds"
Yellowstone Fire,1988,Wyoming,"793,880",2,Multiple lightning strikes
Western U.S. Wildfire,2000,"Idaho, Montana","6,970,000",4,"Multiple lightning strikes, extreme drought"
Thirtymile Fire,2001,Washington,"9,324",4,Escaped campfire
Cedar Fire,2003,California,"273,246",16,Signal fire in Santa Ana winds
East Amarillo Complex Fire,2006,Texas,"907,245",12,"Lightning, dry blizzard"
Milford Flat Fire,2007,Utah,"363,052",None,Lightning
Bastrop County Complex Fire,2011,Texas,"34,000",Several,Suspected arson; multi-ignition
Las Conchas Fire,2011,New Mexico,"156,293",None,Tree on power line
Wallow Fire,2011,"Arizona, New Mexico","538,049",None,Unattended campfire
2011 Texas Wildfire,2011,Texas,"4,000,000",2,"Human activity, electrical faults, drought"
Waldo Canyon Fire,2012,Colorado,"18,247",2,"Lightning, embers"
Little Bear Fire,2012,New Mexico,"44,330",None,Lightning
Chips Fire,2012,California,"75,431",None,Human activity
High Park Fire,2012,Colorado,"87,415",1,Lightning
Long Draw Fire,2012,Oregon,"557,648",None,Lightning
Yarnell Hill Fire,2013,Arizona,"8,400",19,Lightning
Rim Fire,2013,California,"257,314",None,Illegal campfire
Carlton Complex Fire,2014,Washington,"252,000",None,Lightning
Hidden Pines Fire,2015,Texas,"4,582",None,Tractor-spark in drought
Okanogan Complex Fire,2015,Washington,"302,224",None,Lightning
Anderson Creek Fire,2016,"Kansas, Oklahoma","367,620",None,Undetermined spark in grassland
Thomas Fire,2017,California,"281,893",2,Power line failure
Woolsey Fire,2018,California,"96,949",3,Edison equipment failure
Spring Creek Fire,2018,Colorado,"108,045",None,Lightning
Camp Fire,2018,California,"153,336",85,PG&E transmission failure
Carr Fire,2018,California,"229,651",8,Vehicle-rim spark
Martin Fire,2018,Nevada,"435,569",None,Dry grass
Mendocino Complex Fire,2018,California,"459,000",1,Lightning
West Fork Complex Fire,2020,Colorado,"109,615",None,Lightning
Bighorn Fire,2020,Arizona,"119,987",None,Lightning
North Complex Fire,2020,California,"318,000",16,Lightning during heatwave
August Complex Fire,2020,California,"1,030,000",1,Multiple lightning ignitions
2020 California Wildfire,2020,California,"4,200,000",33,"Dry lightning complexes, utility faults"
Marshall Fire,2021,Colorado,"6,200,000",2,Power line failure
Dixie Fire,2021,California,"963,309",1,Tree on PG&E line
Calf Canyon / Hermits Peak Fire,2022,New Mexico,"341,471",None,Escaped prescribed burn
Coffee Pot Fire,2024,California,"4,552",None,"Lightning, tree fall breach"
Mt. Ventura Fire,2024,California,"10,400",None,Wind-driven ignition
Park Fire,2024,California,"429,603",1,Arson; vehicle spark
Smokehouse Creek Fire,2024,Texas,"1,200,000",Over 1.1 million,Extreme drought & wind
Hollywood Hills Sunset Fire,2025,California,50,None,High winds
Orleans Complex Fire,2025,California,"6,000",None,Lightning
Crabapple Fire,2025,Texas,"9,858",None,Wind and dry fuels
Hughes Fire,2025,California,"10,000",None,Santa Ana winds
Eaton Fire,2025,California,"14,021",None,Santa Ana winds; downed lines
Palisades Watch Group Fire,2025,California,"28,000",Over 10,"Santa Ana winds, power line faults, possible arson"
Grand Canyon Fire,2025,Arizona,"60,000",None,Lightning fires
