2019 USA Used Car Sales,,,,,,,,,
Manufacturer,Model,Production year,Price (USD),Layout,Powertrain,Fuel type,Mileage (in miles),Transmission,Location
Ford,Fusion SE,2014," $5,799 ",FF,2.5 L I4,Gasoline,"148,988",6-spd Automatic,"Franklin, TN"
Honda,Odyssey EX-L,2015," $5,900 ",FF,3.5 L V6,Gasoline,"222,080",6-spd Automatic,"Orlando, FL"
BMW,X5 xDrive35i Premium,2013," $6,500 ",4WD,3.0 L I6 Turbocharged,Gasoline,"164,768",8-spd Automatic,"Pennsauken, NJ"
Ford,Focus SE,2016," $7,200 ",FF,2.0 L I4,Gasoline,"89,338",6-spd Automatic,"Jacksonville, FL"
Audi,Q5 Premium Plus 2.0 TFSI quattro,2015," $7,299 ",4WD,2.0 L I4 Turbocharged,Gasoline,"132,750",8-spd Automatic,"Pompano, FL"
Toyota,Mirai,2019," $7,950 ",FF,Fuel Cell w/Single AC Motor,Hydrogen,"54,767",CVT,"Sherman Oaks, CA"
Nissan,Altima 2.5 S,2015," $7,999 ",FF,2.5 L I4,Gasoline,"116,193",CVT,"Fairfield, OH"
Chevrolet,Malibu LT,2018," $8,495 ",FF,1.5 L I4,Gasoline,"150,013",6-spd Automatic,"Arleta, CA"
Ford,F-150 Lariat SuperCrew 4x4,2013," $8,900 ",4WD,5.0 L V8,Gasoline,"207,239",6-spd Automatic,"Delray Beach, FL"
Chevrolet,Volt LT,2017," $8,998 ",FF,1.5 L I4 w/Single AC Motor,Hybrid,"101,333",CVT,"Chula Vista, CA"
Chevrolet,Silverado 1500 LT Double Cab 4x2,2015," $9,794 ",FR,4.3 L V6,Gasoline,"145,357",6-spd Automatic,"Arcadia, FL"
RAM Trucks,Ram 1500 Tradesman Regular Cab 4x2,2014," $9,995 ",FR,5.7 L V8,Gasoline,"79,483",6-spd Automatic,"Pasadena, TX"
Chevrolet,Spark EV LT,2014," $9,998 ",FF,Single AC Motor,Electric,"60,647",CVT,"Tulsa, OK"
Chevrolet,Express 3500 Commercial Cutaway Van,2015," $10,995 ",FR,4.8 L V8,Gasoline,"148,875",6-spd Automatic,"Southaven, MS"
Ford,Explorer XLT 4x2,2016," $11,999 ",FF,3.5 L V6,Gasoline,"97,442",6-spd Automatic,"Gainesville, FL"
Toyota,Corolla S Plus CVT,2015," $11,999 ",FF,1.8 L I4,Gasoline,"98,280",7-spd Automatic,"San Diego, CA"
Jeep,Wrangler Unlimited Sport 4x4,2015," $12,484 ",4WD,3.6 L V6,Gasoline,"133,841",5-spd Automatic,"Tampa, FL"
Maserati,Ghibli S Q4,2016," $13,999 ",4WD,3.0 L V6 Twin Turbo,Gasoline,"70,428",8-spd Automatic,"Manassas, VA"
BMW,328i,2015," $14,599 ",FR,2.0 L I4 Turbocharged,Gasoline,"83,878",8-spd Automatic,"Fremont, CA"
Kia Motors,Optima Hybrid EX,2016," $14,599 ",FF,2.4 L I4 w/Single AC Motor,Hybrid,"98,169",6-spd Automatic,"Riverside, CA"
Volkswagen,Golf VII Alltrack SEL 1.8 TSI DSG,2019," $14,998 ",4WD,1.8 L I4 Turbocharged,Gasoline,"117,848",6-spd DSG,"Santa Rosa, CA"
Toyota,Tundra SR5 CrewMax Flex Fuel 4x4,2018," $15,099 ",4WD,5.7 L V8,Gasoline,"225,333",6-spd Automatic,"Miami, FL"
Hyundai,Sonata Limited 2.0 T,2015," $15,998 ",FF,2.0 L I4 Turbocharged,Gasoline,"76,330",6-spd Automatic,"Norcoss, GA"
Ford,Mustang EcoBoost Premium,2016," $15,998 ",FR,2.3 L I4 Turbocharged,Gasoline,"96,747",6-spd Manual,"Spokane Valley, WA"
Kia Motors,Sorento SX Limited 4x2,2015," $15,998 ",FF,3.5 L V6,Gasoline,"97,914",6-spd Automatic,"Tinley Park, IL"
